dataset,alpha,group,e_star_mean,e_star_std,best_val_acc_mean,best_val_acc_std,final_gen_gap_mean,final_gen_gap_std
BreastCancer,0.0,Baseline-Full,34.0,65.2792,0.9775,0.0157,0.0225,0.0149
BreastCancer,0.0,Baseline-Half,26.95,16.3915,0.9731,0.0131,0.0288,0.0169
BreastCancer,0.0,Distill-S,45.75,41.9108,0.9764,0.0164,0.0214,0.0179
BreastCancer,0.2,Baseline-Full,34.0,65.2792,0.9775,0.0157,0.0225,0.0149
BreastCancer,0.2,Baseline-Half,26.95,16.3915,0.9731,0.0131,0.0288,0.0169
BreastCancer,0.2,Distill-S,61.5,83.4913,0.9714,0.0183,0.0223,0.0187
BreastCancer,0.4,Baseline-Full,34.0,65.2792,0.9775,0.0157,0.0225,0.0149
BreastCancer,0.4,Baseline-Half,26.95,16.3915,0.9731,0.0131,0.0288,0.0169
BreastCancer,0.4,Distill-S,50.4,67.9926,0.9747,0.0134,0.0236,0.0163
BreastCancer,0.6,Baseline-Full,34.0,65.2792,0.9775,0.0157,0.0225,0.0149
BreastCancer,0.6,Baseline-Half,26.95,16.3915,0.9731,0.0131,0.0288,0.0169
BreastCancer,0.6,Distill-S,49.55,77.6934,0.972,0.0161,0.0253,0.0171
BreastCancer,0.8,Baseline-Full,34.0,65.2792,0.9775,0.0157,0.0225,0.0149
BreastCancer,0.8,Baseline-Half,26.95,16.3915,0.9731,0.0131,0.0288,0.0169
BreastCancer,0.8,Distill-S,52.5,85.1874,0.9714,0.0135,0.0261,0.0156
BreastCancer,1.0,Baseline-Full,34.0,65.2792,0.9775,0.0157,0.0225,0.0149
BreastCancer,1.0,Baseline-Half,26.95,16.3915,0.9731,0.0131,0.0288,0.0169
BreastCancer,1.0,Distill-S,37.75,61.1726,0.9736,0.0131,0.0283,0.0173
Digits,0.0,Baseline-Full,60.8,72.4893,0.9732,0.0088,0.0263,0.0083
Digits,0.0,Baseline-Half,48.2,30.1306,0.958,0.0156,0.0418,0.0148
Digits,0.0,Distill-S,108.05,33.8098,0.9641,0.0083,0.0321,0.01
Digits,0.2,Baseline-Full,60.8,72.4893,0.9732,0.0088,0.0263,0.0083
Digits,0.2,Baseline-Half,48.2,30.1306,0.958,0.0156,0.0418,0.0148
Digits,0.2,Distill-S,87.1,43.9999,0.9594,0.0096,0.0362,0.0095
Digits,0.4,Baseline-Full,60.8,72.4893,0.9732,0.0088,0.0263,0.0083
Digits,0.4,Baseline-Half,48.2,30.1306,0.958,0.0156,0.0418,0.0148
Digits,0.4,Distill-S,107.2,51.2585,0.9615,0.0121,0.0355,0.0141
Digits,0.6,Baseline-Full,60.8,72.4893,0.9732,0.0088,0.0263,0.0083
Digits,0.6,Baseline-Half,48.2,30.1306,0.958,0.0156,0.0418,0.0148
Digits,0.6,Distill-S,85.95,49.873,0.9608,0.0159,0.0361,0.0153
Digits,0.8,Baseline-Full,60.8,72.4893,0.9732,0.0088,0.0263,0.0083
Digits,0.8,Baseline-Half,48.2,30.1306,0.958,0.0156,0.0418,0.0148
Digits,0.8,Distill-S,95.45,69.271,0.9584,0.0151,0.0402,0.0139
Digits,1.0,Baseline-Full,60.8,72.4893,0.9732,0.0088,0.0263,0.0083
Digits,1.0,Baseline-Half,48.2,30.1306,0.958,0.0156,0.0418,0.0148
Digits,1.0,Distill-S,139.8,111.5251,0.9591,0.0154,0.0411,0.0151
Glass,0.0,Baseline-Full,63.95,46.4526,0.6603,0.0877,0.1685,0.0847
Glass,0.0,Baseline-Half,67.55,29.9938,0.5985,0.0871,0.2012,0.0751
Glass,0.0,Distill-S,90.85,51.2982,0.6235,0.0957,0.157,0.0789
Glass,0.2,Baseline-Full,63.95,46.4526,0.6603,0.0877,0.1685,0.0847
Glass,0.2,Baseline-Half,67.55,29.9938,0.5985,0.0871,0.2012,0.0751
Glass,0.2,Distill-S,72.05,37.1235,0.6044,0.0998,0.1461,0.0931
Glass,0.4,Baseline-Full,63.95,46.4526,0.6603,0.0877,0.1685,0.0847
Glass,0.4,Baseline-Half,67.55,29.9938,0.5985,0.0871,0.2012,0.0751
Glass,0.4,Distill-S,68.25,26.6949,0.6206,0.089,0.1627,0.0982
Glass,0.6,Baseline-Full,63.95,46.4526,0.6603,0.0877,0.1685,0.0847
Glass,0.6,Baseline-Half,67.55,29.9938,0.5985,0.0871,0.2012,0.0751
Glass,0.6,Distill-S,79.45,41.6685,0.6191,0.0989,0.1771,0.0889
Glass,0.8,Baseline-Full,63.95,46.4526,0.6603,0.0877,0.1685,0.0847
Glass,0.8,Baseline-Half,67.55,29.9938,0.5985,0.0871,0.2012,0.0751
Glass,0.8,Distill-S,64.5,27.5041,0.6074,0.097,0.1984,0.0722
Glass,1.0,Baseline-Full,63.95,46.4526,0.6603,0.0877,0.1685,0.0847
Glass,1.0,Baseline-Half,67.55,29.9938,0.5985,0.0871,0.2012,0.0751
Glass,1.0,Distill-S,70.05,35.4378,0.6059,0.0956,0.2019,0.0719
Wine,0.0,Baseline-Full,168.65,119.2517,0.9786,0.0293,0.0232,0.029
Wine,0.0,Baseline-Half,199.15,112.0001,0.9661,0.0375,0.0339,0.0375
Wine,0.0,Distill-S,203.75,97.7499,0.9696,0.0313,0.0295,0.0313
Wine,0.2,Baseline-Full,168.65,119.2517,0.9786,0.0293,0.0232,0.029
Wine,0.2,Baseline-Half,199.15,112.0001,0.9661,0.0375,0.0339,0.0375
Wine,0.2,Distill-S,187.6,102.8588,0.975,0.0309,0.0268,0.0345
Wine,0.4,Baseline-Full,168.65,119.2517,0.9786,0.0293,0.0232,0.029
Wine,0.4,Baseline-Half,199.15,112.0001,0.9661,0.0375,0.0339,0.0375
Wine,0.4,Distill-S,167.45,95.924,0.9679,0.04,0.0313,0.0409
Wine,0.6,Baseline-Full,168.65,119.2517,0.9786,0.0293,0.0232,0.029
Wine,0.6,Baseline-Half,199.15,112.0001,0.9661,0.0375,0.0339,0.0375
Wine,0.6,Distill-S,197.05,98.069,0.9696,0.0371,0.0286,0.0377
Wine,0.8,Baseline-Full,168.65,119.2517,0.9786,0.0293,0.0232,0.029
Wine,0.8,Baseline-Half,199.15,112.0001,0.9661,0.0375,0.0339,0.0375
Wine,0.8,Distill-S,173.55,103.1975,0.9661,0.0393,0.0339,0.0393
Wine,1.0,Baseline-Full,168.65,119.2517,0.9786,0.0293,0.0232,0.029
Wine,1.0,Baseline-Half,199.15,112.0001,0.9661,0.0375,0.0339,0.0375
Wine,1.0,Distill-S,186.5,100.3166,0.9661,0.0375,0.0339,0.0375
